gene_id	gene_name	MFM1-D	MFM1-V	MFM2-D	MFM3-D	MFM3-V	MFM4-D	MFM4-V	MFM5-D	MFM5-V	MFM6-D	MFM6-V
ENSG00000121903	ZSCAN20	8.04503710732469	6.257649819825367	3.720740374778921	9.772037060280054	7.475710024592692	6.82682696529213	7.0148119134863816	7.756329097161487	7.433845253803495	7.490047412745336	6.672613865242014
ENSG00000121931	LRIF1	62.53789164460583	57.77500332351526	60.353210381779924	56.37628338546273	55.15933723047539	56.0026092237354	60.515692778929925	52.7479626633262	51.42336572932858	56.498295824950624	59.901416249193026
ENSG00000121940	CLCC1	33.3260945904972	32.14700593736178	35.15739094393282	31.084460523095384	31.26338626584848	34.28446934874841	31.924734144188	33.69672138141752	35.73849840461387	36.147372371386325	32.12242919566056
ENSG00000121957	GPSM2	56.058747770405965	53.06091274960805	46.70589265178901	51.845299418074546	42.59747708044464	60.17002394712901	42.78066045949697	60.613057618771876	47.77359391911301	60.33623370521841	48.669759197483344
ENSG00000121964	GTDC1	7.194325076322229	7.938415169682085	8.983083958292529	7.370265445271112	7.756329097161487	7.174361107133879	7.629041933218011	7.532330318569187	6.94587050517403	8.993434402742155	8.601609521734467
ENSG00000121988	ZRANB3	22.062944302342494	22.619773956416594	20.63393117471142	20.471910151804806	23.198178361570186	23.07388955263369	19.978686818416627	19.540688650749374	19.415658781722232	19.88728618679432	22.192438096038874
ENSG00000121989	ACVR2A	5.520847154472134	5.022650378223087	6.487947277195744	7.416923580861471	4.907872608207649	5.478301899593712	6.0502532122310955	5.372591924578556	4.783818903716888	4.998698339902369	6.937798078976687
ENSG00000122008	POLK	38.37611169867668	38.483768610948886	28.423103603692766	38.88956026892567	38.46647410392552	41.421846238014254	35.33198097049712	39.060176110593154	37.28958938735142	39.76580923418137	33.3573741994031
ENSG00000122026	RPL21	19.252456696274965	22.262325856373423	26.850524620191017	16.10361854092789	14.893060221034563	17.679484205547155	18.361613549206982	17.000002488723464	20.455483789492916	19.81835666936181	18.991803789344477
ENSG00000122033	MTIF3	43.17440337116129	47.41324449123537	48.4321299142009	51.83357912220623	53.78195210253137	50.92777177337187	54.74130545376473	51.591808018306914	55.292812805889035	52.078345008644746	54.134198461053955
ENSG00000122034	GTF3A	142.89558457378027	143.19618035728038	155.83090574332402	130.87329106486953	97.32376062368952	122.26335641828591	107.44275719326646	128.85654298813438	119.66943067703242	123.27448117774026	113.3882698796059
ENSG00000122042	UBL3	61.8253178984652	59.01834013307208	62.64909434690292	56.12585772492515	74.37426583886838	60.98874953692002	75.1241251953434	62.13810167071324	58.809419382220646	62.667270489726214	70.59250477034705
ENSG00000122068	FYTTD1	192.0610062432606	183.05126495551457	176.80704473311525	177.9804009719427	171.62713052151614	176.42744507942126	162.70157700303045	191.79695111826643	162.8665337188181	188.90372082510717	195.96413968664956
ENSG00000122085	MTERF4	67.6595108874161	60.92309976947861	68.66431718749473	61.809969794804516	60.76016329184794	63.955451584129676	67.50175488999682	69.26413970945504	68.0718899316521	68.0718899316521	62.50823705866532
